date,average fee per tx,txs count,__row_index
2023-08-04T00:00:00.000Z,0.01519265793,314732,95
2023-08-05T00:00:00.000Z,0.01519802619,321893,96
2023-08-06T00:00:00.000Z,0.01516843999,315188,97
2023-08-07T00:00:00.000Z,0.01513202258,331934,98
2023-08-08T00:00:00.000Z,0.01480493369,355575,99
2023-08-09T00:00:00.000Z,0.01477414155,346232,100
2023-08-10T00:00:00.000Z,0.01452910494,374455,101
2023-08-11T00:00:00.000Z,0.01439944331,354399,102
2023-08-12T00:00:00.000Z,0.01470463228,316061,103
2023-08-13T00:00:00.000Z,0.0145828046,349668,104
2023-08-14T00:00:00.000Z,0.01499517635,310094,105
2023-08-15T00:00:00.000Z,0.01445996136,332536,106
2023-08-16T00:00:00.000Z,0.01433858446,348244,107
2023-08-17T00:00:00.000Z,0.01405261517,416968,108
2023-08-18T00:00:00.000Z,0.01371991819,522649,109
2023-08-19T00:00:00.000Z,0.01374628621,521509,110
2023-08-20T00:00:00.000Z,0.01417001474,453310,111
2023-08-21T00:00:00.000Z,0.01423126886,425905,112
2023-08-22T00:00:00.000Z,0.01416040035,478744,113
2023-08-23T00:00:00.000Z,0.01560574403,332217,114
2023-08-24T00:00:00.000Z,0.01592595263,288058,115
2023-08-25T00:00:00.000Z,0.01613937057,261904,116
2023-08-26T00:00:00.000Z,0.01704179249,228226,117
2023-08-27T00:00:00.000Z,0.01645812706,258663,118
2023-08-28T00:00:00.000Z,0.01546244161,297015,119
2023-08-29T00:00:00.000Z,0.01565719916,288181,120
2023-08-30T00:00:00.000Z,0.01623754014,272636,121
2023-08-31T00:00:00.000Z,0.01614430302,286482,122
2023-09-01T00:00:00.000Z,0.01697219166,252087,123
2023-09-02T00:00:00.000Z,0.01819986672,217334,124
2023-09-03T00:00:00.000Z,0.01889376465,200707,125
2023-09-04T00:00:00.000Z,0.01832542204,215925,126
2023-09-05T00:00:00.000Z,0.01867444219,209419,127
2023-09-06T00:00:00.000Z,0.01833198662,219380,128
2023-09-07T00:00:00.000Z,0.01703867329,256245,129
2023-09-08T00:00:00.000Z,0.01808124716,221541,130
2023-09-09T00:00:00.000Z,0.01901211943,190867,131
2023-09-10T00:00:00.000Z,0.01767568562,217669,132
2023-09-11T00:00:00.000Z,0.01762337861,223983,133
2023-09-12T00:00:00.000Z,0.01762423996,223762,134
2023-09-13T00:00:00.000Z,0.01768152995,212091,135
2023-09-14T00:00:00.000Z,0.01700586009,242690,136
2023-09-15T00:00:00.000Z,0.01655682838,261086,137
2023-09-16T00:00:00.000Z,0.02000154018,166399,138
2023-09-17T00:00:00.000Z,0.01877558549,192211,139
2023-09-18T00:00:00.000Z,0.01782273683,218044,140
2023-09-19T00:00:00.000Z,0.01760057896,234639,141
2023-09-20T00:00:00.000Z,0.01688791488,250512,142
2023-09-21T00:00:00.000Z,0.01614741545,283674,143
2023-09-22T00:00:00.000Z,0.01710813636,248768,144
2023-09-23T00:00:00.000Z,0.0174817922,236425,145
2023-09-24T00:00:00.000Z,0.01747621496,240813,146
2023-09-25T00:00:00.000Z,0.01554889542,348119,147
2023-09-26T00:00:00.000Z,0.01679407685,254387,148
2023-09-27T00:00:00.000Z,0.01659287831,259544,149
2023-09-28T00:00:00.000Z,0.01616823303,297538,150
2023-09-29T00:00:00.000Z,0.01616403063,294004,151
2023-09-30T00:00:00.000Z,0.01637079058,271071,152
2023-10-01T00:00:00.000Z,0.01703010707,248442,153
2023-10-02T00:00:00.000Z,0.01706564114,252701,154
2023-10-03T00:00:00.000Z,0.01701173179,252372,155
2023-10-04T00:00:00.000Z,0.0168871424,257808,156
2023-10-05T00:00:00.000Z,0.01684691575,251902,157
2023-10-06T00:00:00.000Z,0.01726187355,258142,158
2023-10-07T00:00:00.000Z,0.01773991243,221388,159
2023-10-08T00:00:00.000Z,0.0176422653,222538,160
2023-10-09T00:00:00.000Z,0.01558296117,301776,161
2023-10-10T00:00:00.000Z,0.01399262633,450660,162
2023-10-11T00:00:00.000Z,0.01451743281,406473,163
2023-10-12T00:00:00.000Z,0.01528012593,338885,164
2023-10-13T00:00:00.000Z,0.01581130056,297274,165
2023-10-14T00:00:00.000Z,0.01580009821,324490,166
2023-10-15T00:00:00.000Z,0.01587087681,313394,167
2023-10-16T00:00:00.000Z,0.01636278142,283871,168
2023-10-17T00:00:00.000Z,0.01603086298,276933,169
2023-10-18T00:00:00.000Z,0.01651698554,268101,170
2023-10-19T00:00:00.000Z,0.01712084826,242533,171
2023-10-20T00:00:00.000Z,0.01725190053,247443,172
2023-10-21T00:00:00.000Z,0.01739851109,230474,173
2023-10-22T00:00:00.000Z,0.01666658504,255142,174
2023-10-23T00:00:00.000Z,0.01743077703,226596,175
2023-10-24T00:00:00.000Z,0.01725755223,232120,176
2023-10-25T00:00:00.000Z,0.01677746028,249573,177
2023-10-26T00:00:00.000Z,0.01743033925,234355,178
2023-10-27T00:00:00.000Z,0.01704325758,246853,179
2023-10-28T00:00:00.000Z,0.01737821349,238724,180
2023-10-29T00:00:00.000Z,0.01791388179,222781,181
2023-10-30T00:00:00.000Z,0.0170959214,247659,182
2023-10-31T00:00:00.000Z,0.0159199359,303768,183
2023-11-01T00:00:00.000Z,0.01591414864,344018,184
2023-11-02T00:00:00.000Z,0.01625799434,319783,185
2023-11-03T00:00:00.000Z,0.01696071761,269071,186
2023-11-04T00:00:00.000Z,0.01725283972,270768,187
2023-11-05T00:00:00.000Z,0.01624255074,315873,188
2023-11-06T00:00:00.000Z,0.01639330798,300559,189
