Date(UTC),UnixTimeStamp,Value,Value (Wei),DateTime,Average Txn Fee (USD),Average Txn Fee Per(MATIC),GasPriceValue (USD),AvgTotalAmountGasFee
2023-06-15,1686787200,2612653,339155995606.0,2023-06-15 00:00:00Z,0.01,0,19.364267282086114,19.374267282086116
2023-06-16,1686873600,2395267,274046601674.0,2023-06-16 00:00:00Z,0.01,0,15.646816542578742,15.656816542578742
2023-06-17,1686960000,2157543,267181089334.0,2023-06-17 00:00:00Z,0.01,0,15.254826963439282,15.264826963439281
2023-06-18,1687046400,2023027,233509926373.0,2023-06-18 00:00:00Z,0.01,0,13.332356455110322,13.342356455110322
2023-06-19,1687132800,2335598,248095857044.0,2023-06-19 00:00:00Z,0.01,0,14.165146863448971,14.17514686344897
2023-06-20,1687219200,2383906,260939110909.0,2023-06-20 00:00:00Z,0.01,0,14.898438339453017,14.908438339453017
2023-06-21,1687305600,2467910,289127467339.0,2023-06-21 00:00:00Z,0.01,0,16.507865491633883,16.517865491633884
2023-06-22,1687392000,2367611,303358423299.0,2023-06-22 00:00:00Z,0.01,0,17.32038845587235,17.330388455872352
2023-06-23,1687478400,2319441,270523296393.0,2023-06-23 00:00:00Z,0.01,0,15.445651809943652,15.455651809943651
2023-06-24,1687564800,2192146,226049117633.0,2023-06-24 00:00:00Z,0.01,0,12.906378154700974,12.916378154700974
2023-06-25,1687651200,2255106,235063203895.0,2023-06-25 00:00:00Z,0.01,0,13.421041548368134,13.431041548368134
2023-06-26,1687737600,2417404,244831694355.0,2023-06-26 00:00:00Z,0.01,0,13.978777996081405,13.988777996081405
2023-06-27,1687824000,2430593,243520008358.0,2023-06-27 00:00:00Z,0.01,0,13.903886681862728,13.913886681862728
2023-06-28,1687910400,2475530,299382543758.0,2023-06-28 00:00:00Z,0.01,0,17.093383788077116,17.103383788077117
2023-06-29,1687996800,2490207,238809128562.0,2023-06-29 00:00:00Z,0.01,0,13.634916837055687,13.644916837055687
2023-06-30,1688083200,2681532,355367019389.0,2023-06-30 00:00:00Z,0.02,0,20.28984312776553,20.30984312776553
2023-07-01,1688169600,2254766,199584013827.0,2023-07-01 00:00:00Z,0.01,0,11.39534090226541,11.40534090226541
2023-07-02,1688256000,2250694,206761994075.0,2023-07-02 00:00:00Z,0.01,0,11.805170980072083,11.815170980072082
2023-07-03,1688342400,2468408,229462665827.0,2023-07-03 00:00:00Z,0.01,0,13.101276256062237,13.111276256062236
2023-07-04,1688428800,2396750,208463868848.0,2023-07-04 00:00:00Z,0.01,0,11.902340301599562,11.912340301599562
2023-07-05,1688515200,2334379,235981884483.0,2023-07-05 00:00:00Z,0.01,0,13.473494038323706,13.483494038323705
2023-07-06,1688601600,2422063,218366532877.0,2023-07-06 00:00:00Z,0.01,0,12.467737450836523,12.477737450836523
2023-07-07,1688688000,2251935,178075826649.0,2023-07-07 00:00:00Z,0.01,0,10.167321080520109,10.177321080520109
2023-07-08,1688774400,2148941,141170615901.0,2023-07-08 00:00:00Z,0.01,0,8.060201128979596,8.070201128979596
2023-07-09,1688860800,2230681,150717958608.0,2023-07-09 00:00:00Z,0.01,0,8.605311044202198,8.615311044202198
2023-07-10,1688947200,2520819,222681437746.0,2023-07-10 00:00:00Z,0.01,0,12.714098925386887,12.724098925386887
2023-07-11,1689033600,2547340,185478997724.0,2023-07-11 00:00:00Z,0.01,0,10.590008531983736,10.600008531983736
2023-07-12,1689120000,2665746,246772499336.0,2023-07-12 00:00:00Z,0.01,0,14.089589147532044,14.099589147532043
2023-07-13,1689206400,2735289,378200019037.0,2023-07-13 00:00:00Z,0.02,0,21.593503725732056,21.613503725732055
2023-07-14,1689292800,2711699,274026006829.0,2023-07-14 00:00:00Z,0.02,0,15.645640670447984,15.665640670447983
2023-07-15,1689379200,2301645,153351448647.0,2023-07-15 00:00:00Z,0.01,0,8.755671367064217,8.765671367064217
2023-07-16,1689465600,2298915,158593653144.0,2023-07-16 00:00:00Z,0.01,0,9.054977439616117,9.064977439616117
2023-07-17,1689552000,2558498,192562130862.0,2023-07-17 00:00:00Z,0.01,0,10.99442327049885,11.00442327049885
2023-07-18,1689638400,2451206,188768829288.0,2023-07-18 00:00:00Z,0.01,0,10.777842975554494,10.787842975554494
2023-07-19,1689724800,2514030,191430359894.0,2023-07-19 00:00:00Z,0.01,0,10.929804287463334,10.939804287463334
2023-07-20,1689811200,2575651,187424411689.0,2023-07-20 00:00:00Z,0.01,0,10.701082835491926,10.711082835491926
2023-07-21,1689897600,2488099,175684960028.0,2023-07-21 00:00:00Z,0.01,0,10.030813453101823,10.040813453101823
2023-07-22,1689984000,2332550,171189971827.0,2023-07-22 00:00:00Z,0.01,0,9.77417003803124,9.78417003803124
2023-07-23,1690070400,2255760,137351984079.0,2023-07-23 00:00:00Z,0.01,0,7.842174591896083,7.852174591896083
2023-07-24,1690156800,2487383,154919024699.0,2023-07-24 00:00:00Z,0.01,0,8.845172841457106,8.855172841457106
2023-07-25,1690243200,2397909,141010169284.0,2023-07-25 00:00:00Z,0.01,0,8.051040355717891,8.061040355717891
2023-07-26,1690329600,2600263,164901139647.0,2023-07-26 00:00:00Z,0.01,0,9.415106277391798,9.425106277391798
2023-07-27,1690416000,2641294,184365950953.0,2023-07-27 00:00:00Z,0.01,0,10.52645861557257,10.53645861557257
2023-07-28,1690502400,2558509,171859764245.0,2023-07-28 00:00:00Z,0.01,0,9.812412143651375,9.822412143651375
2023-07-29,1690588800,2554503,133397587970.0,2023-07-29 00:00:00Z,0.01,0,7.61639653051434,7.62639653051434
2023-07-30,1690675200,2489002,127014024353.0,2023-07-30 00:00:00Z,0.01,0,7.251924034986382,7.261924034986381
2023-07-31,1690761600,2684598,159730603032.0,2023-07-31 00:00:00Z,0.01,0,9.119892115466774,9.129892115466774
2023-08-01,1690848000,2605889,183586412305.0,2023-08-01 00:00:00Z,0.01,0,10.481950498564006,10.491950498564005
2023-08-02,1690934400,2531358,141390061873.0,2023-08-02 00:00:00Z,0.01,0,8.072730497502752,8.082730497502752
2023-08-03,1691020800,2643762,157457441513.0,2023-08-03 00:00:00Z,0.01,0,8.990104914887825,9.000104914887824
2023-08-04,1691107200,2642305,134159102332.0,2023-08-04 00:00:00Z,0.01,0,7.659875542638444,7.669875542638444
2023-08-05,1691193600,2402046,150955746924.0,2023-08-05 00:00:00Z,0.01,0,8.618887677277352,8.628887677277351
2023-08-06,1691280000,2331349,102421564222.0,2023-08-06 00:00:00Z,0.01,0,5.847806232941234,5.8578062329412335
2023-08-07,1691366400,2561784,129897936557.0,2023-08-07 00:00:00Z,0.01,0,7.41658232633265,7.42658232633265
2023-08-08,1691452800,2752920,154057216695.0,2023-08-08 00:00:00Z,0.01,0,8.795967517796296,8.805967517796295
2023-08-09,1691539200,2688279,145315483521.0,2023-08-09 00:00:00Z,0.01,0,8.296854248730973,8.306854248730973
2023-08-10,1691625600,2532610,196014106589.0,2023-08-10 00:00:00Z,0.01,0,11.191515409499557,11.201515409499557
2023-08-11,1691712000,2482813,164822651572.0,2023-08-11 00:00:00Z,0.01,0,9.410624964714307,9.420624964714307
2023-08-12,1691798400,2303100,160917543459.0,2023-08-12 00:00:00Z,0.01,0,9.18766102409324,9.19766102409324
2023-08-13,1691884800,2321402,123555753424.0,2023-08-13 00:00:00Z,0.01,0,7.054472468537236,7.064472468537236
2023-08-14,1691971200,2328379,171981287263.0,2023-08-14 00:00:00Z,0.01,0,9.819350556157612,9.829350556157612
2023-08-15,1692057600,2406476,145095589064.0,2023-08-15 00:00:00Z,0.01,0,8.284299273750834,8.294299273750834
2023-08-16,1692144000,2446608,137558274146.0,2023-08-16 00:00:00Z,0.01,0,7.853952817983138,7.8639528179831375
2023-08-17,1692230400,2541013,319036317157.0,2023-08-17 00:00:00Z,0.02,0,18.21552500371381,18.23552500371381
2023-08-18,1692316800,2462636,176097802446.0,2023-08-18 00:00:00Z,0.01,0,10.054384880501331,10.064384880501331
2023-08-19,1692403200,2294609,126674970286.0,2023-08-19 00:00:00Z,0.01,0,7.232565587364853,7.242565587364853
2023-08-20,1692489600,2128627,117923557571.0,2023-08-20 00:00:00Z,0.01,0,6.732899660462073,6.742899660462073
2023-08-21,1692576000,2223474,144076625995.0,2023-08-21 00:00:00Z,0.01,0,8.226121109500975,8.236121109500974
2023-08-22,1692662400,2235798,160392688659.0,2023-08-22 00:00:00Z,0.01,0,9.15769419831643,9.167694198316429
2023-08-23,1692748800,2242365,158988112051.0,2023-08-23 00:00:00Z,0.01,0,9.077499252014862,9.087499252014862
2023-08-24,1692835200,2179442,148446909076.0,2023-08-24 00:00:00Z,0.01,0,8.475644428490668,8.485644428490668
2023-08-25,1692921600,2182771,172972179782.0,2023-08-25 00:00:00Z,0.01,0,9.8759260194675,9.8859260194675
2023-08-26,1693008000,1993312,147119996461.0,2023-08-26 00:00:00Z,0.01,0,8.39988374352645,8.40988374352645
2023-08-27,1693094400,1906524,150434092900.0,2023-08-27 00:00:00Z,0.01,0,8.589103601275797,8.599103601275797
2023-08-28,1693180800,2105860,162878829787.0,2023-08-28 00:00:00Z,0.01,0,9.299641567454218,9.309641567454218
2023-08-29,1693267200,2185018,266862205044.0,2023-08-29 00:00:00Z,0.02,0,15.236620118495898,15.256620118495897
2023-08-30,1693353600,2192996,180607632429.0,2023-08-30 00:00:00Z,0.01,0,10.311875693929348,10.321875693929348
2023-08-31,1693440000,2297006,200546395910.0,2023-08-31 00:00:00Z,0.01,0,11.450288549142194,11.460288549142193
2023-09-01,1693526400,2191828,197246003895.0,2023-09-01 00:00:00Z,0.01,0,11.261851151773087,11.271851151773086
2023-09-02,1693612800,2191431,141851582025.0,2023-09-02 00:00:00Z,0.01,0,8.099081202473862,8.109081202473861
2023-09-03,1693699200,2170076,143559079562.0,2023-09-03 00:00:00Z,0.01,0,8.196571558293439,8.206571558293438
2023-09-04,1693785600,2528963,198556848015.0,2023-09-04 00:00:00Z,0.01,0,11.33669439863793,11.34669439863793
2023-09-05,1693872000,2279475,167421045010.0,2023-09-05 00:00:00Z,0.01,0,9.558981431028714,9.568981431028714
2023-09-06,1693958400,2263407,220995733950.0,2023-09-06 00:00:00Z,0.01,0,12.617852893215625,12.627852893215625
2023-09-07,1694044800,2306538,239075690573.0,2023-09-07 00:00:00Z,0.01,0,13.650136317457415,13.660136317457415
2023-09-08,1694131200,2370971,203917282544.0,2023-09-08 00:00:00Z,0.01,0,11.642750869148523,11.652750869148523
2023-09-09,1694217600,2003992,150860815605.0,2023-09-09 00:00:00Z,0.01,0,8.613467530034274,8.623467530034274
2023-09-10,1694304000,1925273,194915107829.0,2023-09-10 00:00:00Z,0.01,0,11.128767570726145,11.138767570726145
2023-09-11,1694390400,2298669,224838128410.0,2023-09-11 00:00:00Z,0.01,0,12.837236169025626,12.847236169025626
2023-09-12,1694476800,2164660,226439146847.0,2023-09-12 00:00:00Z,0.01,0,12.928647051744125,12.938647051744125
2023-09-13,1694563200,2013968,208008233579.0,2023-09-13 00:00:00Z,0.01,0,11.876325596725197,11.886325596725197
2023-09-14,1694649600,2185409,204523247108.0,2023-09-14 00:00:00Z,0.01,0,11.677348694139948,11.687348694139947
2023-09-15,1694736000,2125567,163027072539.0,2023-09-15 00:00:00Z,0.01,0,9.30810555544072,9.31810555544072
2023-09-16,1694822400,2041819,147733782927.0,2023-09-16 00:00:00Z,0.01,0,8.434928163603749,8.444928163603748
2023-09-17,1694908800,1956637,150040622818.0,2023-09-17 00:00:00Z,0.01,0,8.566638246294417,8.576638246294417
2023-09-18,1694995200,2134222,165367369518.0,2023-09-18 00:00:00Z,0.01,0,9.441725885931536,9.451725885931536
2023-09-19,1695081600,2199771,145353123084.0,2023-09-19 00:00:00Z,0.01,0,8.299003296861498,8.309003296861498
2023-09-20,1695168000,2264990,145994494674.0,2023-09-20 00:00:00Z,0.01,0,8.33562270225843,8.34562270225843
2023-09-21,1695254400,2319465,145517353560.0,2023-09-21 00:00:00Z,0.01,0,8.308380111290049,8.318380111290049
2023-09-22,1695340800,2216853,130320453189.0,2023-09-22 00:00:00Z,0.01,0,7.440706107422103,7.450706107422103
2023-09-23,1695427200,2122847,120985487433.0,2023-09-23 00:00:00Z,0.01,0,6.90772195172314,6.91772195172314
2023-09-24,1695513600,2146985,118644864319.0,2023-09-24 00:00:00Z,0.01,0,6.774083000404766,6.784083000404766
2023-09-25,1695600000,2422032,140544526537.0,2023-09-25 00:00:00Z,0.01,0,8.024454269292495,8.034454269292494
2023-09-26,1695686400,2374857,120871744912.0,2023-09-26 00:00:00Z,0.01,0,6.901227770265292,6.911227770265292
2023-09-27,1695772800,2191284,132816984480.0,2023-09-27 00:00:00Z,0.01,0,7.583246707686698,7.593246707686697
2023-09-28,1695859200,2282339,128274158429.0,2023-09-28 00:00:00Z,0.01,0,7.323871968607099,7.333871968607099
2023-09-29,1695945600,2187780,114470819067.0,2023-09-29 00:00:00Z,0.01,0,6.535763970358344,6.545763970358344
2023-09-30,1696032000,2124863,110611588967.0,2023-09-30 00:00:00Z,0.01,0,6.31541945595298,6.3254194559529795
2023-10-01,1696118400,2079066,149582384643.0,2023-10-01 00:00:00Z,0.01,0,8.54047492730694,8.55047492730694
2023-10-02,1696204800,2400807,400744794441.0,2023-10-02 00:00:00Z,0.02,0,22.880708028158175,22.900708028158174
2023-10-03,1696291200,2448024,255466557799.0,2023-10-03 00:00:00Z,0.01,0,14.585980407084454,14.595980407084454
2023-10-04,1696377600,2359588,150398692749.0,2023-10-04 00:00:00Z,0.01,0,8.587082413401571,8.597082413401571
2023-10-05,1696464000,2352477,112728198320.0,2023-10-05 00:00:00Z,0.01,0,6.4362682387380845,6.446268238738084
2023-10-06,1696550400,2246005,129274332677.0,2023-10-06 00:00:00Z,0.01,0,7.380977376495658,7.390977376495658
2023-10-07,1696636800,2146528,112175875702.0,2023-10-07 00:00:00Z,0.01,0,6.404733125281566,6.414733125281566
2023-10-08,1696723200,2037330,109056281128.0,2023-10-08 00:00:00Z,0.01,0,6.226618440813895,6.236618440813895
2023-10-09,1696809600,2158221,128808610320.0,2023-10-09 00:00:00Z,0.01,0,7.354386744700762,7.364386744700762
2023-10-10,1696896000,2117899,127973234091.0,2023-10-10 00:00:00Z,0.01,0,7.306690555368907,7.316690555368907
2023-10-11,1696982400,2544895,202019719846.0,2023-10-11 00:00:00Z,0.01,0,11.534408655699124,11.544408655699124
2023-10-12,1697068800,2592924,164800945275.0,2023-10-12 00:00:00Z,0.01,0,9.40938563372132,9.419385633721319
2023-10-13,1697155200,2477447,153723574627.0,2023-10-13 00:00:00Z,0.01,0,8.776918070742424,8.786918070742423
2023-10-14,1697241600,2356532,91843954379.0,2023-10-14 00:00:00Z,0.01,0,5.243872742573495,5.253872742573495
2023-10-15,1697328000,2278429,87790576777.0,2023-10-15 00:00:00Z,0.01,0,5.012443287404634,5.022443287404633
2023-10-16,1697414400,2348764,199943207971.0,2023-10-16 00:00:00Z,0.01,0,11.415849256829945,11.425849256829945
2023-10-17,1697500800,2404413,130718618534.0,2023-10-17 00:00:00Z,0.01,0,7.463439540600152,7.473439540600152
2023-10-18,1697587200,2329347,103210584926.0,2023-10-18 00:00:00Z,0.01,0,5.89285573229051,5.90285573229051
2023-10-19,1697673600,2458143,112730264789.0,2023-10-19 00:00:00Z,0.01,0,6.436386224734394,6.446386224734394
2023-10-20,1697760000,2427074,118668941457.0,2023-10-20 00:00:00Z,0.01,0,6.775457695653148,6.785457695653148
2023-10-21,1697846400,2648707,138364160426.0,2023-10-21 00:00:00Z,0.01,0,7.899965265137441,7.909965265137441
2023-10-22,1697932800,2517907,151436685995.0,2023-10-22 00:00:00Z,0.01,0,8.646347114344362,8.656347114344362
2023-10-23,1698019200,2523330,276231087010.0,2023-10-23 00:00:00Z,0.02,0,15.771540735776387,15.791540735776387
2023-10-24,1698105600,2523623,227978439818.0,2023-10-24 00:00:00Z,0.01,0,13.01653369064202,13.02653369064202
2023-10-25,1698192000,2369681,161564198124.0,2023-10-25 00:00:00Z,0.01,0,9.224582069082858,9.234582069082858
2023-10-26,1698278400,2392321,175224016824.0,2023-10-26 00:00:00Z,0.01,0,10.00449568924166,10.01449568924166
2023-10-27,1698364800,2218548,158427393340.0,2023-10-27 00:00:00Z,0.01,0,9.045484759773704,9.055484759773703
2023-10-28,1698451200,2012393,113051368344.0,2023-10-28 00:00:00Z,0.01,0,6.454719779631862,6.464719779631862
2023-10-29,1698537600,2083751,121469982395.0,2023-10-29 00:00:00Z,0.01,0,6.935384414019373,6.945384414019372
2023-10-30,1698624000,2330574,132521780871.0,2023-10-30 00:00:00Z,0.01,0,7.566391922097257,7.576391922097256
2023-10-31,1698710400,2488509,141254644634.0,2023-10-31 00:00:00Z,0.01,0,8.064998788069419,8.074998788069419
2023-11-01,1698796800,2621386,165332592628.0,2023-11-01 00:00:00Z,0.01,0,9.439740283430254,9.449740283430254
2023-11-02,1698883200,2692789,156585673069.0,2023-11-02 00:00:00Z,0.01,0,8.940330895332188,8.950330895332188
2023-11-03,1698969600,2364148,147773681205.0,2023-11-03 00:00:00Z,0.01,0,8.437206174104215,8.447206174104215
2023-11-04,1699056000,2189368,115821740971.0,2023-11-04 00:00:00Z,0.01,0,6.612895476701137,6.622895476701137
